IMAGENAME	CH	ACTUAL_SPOTS	THI_HB	THI_BF	THI_HB_SPOTS	THI_BF_SPOTS	THF_HB_SPOTS	THF_BF_SPOTS
simvarmass_CY5L_56d1e161	1	736	33	198	677	709	504	737
simvarmass_CY5L_57c005f7	1	189	24	317	183	194	165	2359
simvarmass_CY5L_592532aa	1	2181	247	87	988	1965	1288	1956
simvarmass_CY5L_595bdded	1	802	42	127	731	757	600	755
simvarmass_CY5L_5a0cca46	1	299	33	280	284	298	242	1227
simvarmass_CY5L_5ae7e106	1	889	35	230	811	859	659	1126
simvarmass_CY5L_5ca999d3	1	2098	494	194	319	1942	1408	1956
simvarmass_CY5L_5cdea545	1	1144	43	178	1047	1086	824	1081
simvarmass_CY5L_5d7bbad5	1	1716	590	100	155	1588	1207	1576
simvarmass_CY5L_5df9ec3e	1	1856	334	285	613	1723	1245	3353
simvarmass_CY5L_5f692ce6	1	777	37	216	720	755	533	822
simvarmass_CY5L_6133f4b1	1	944	472	150	136	906	697	899
simvarmass_CY5L_626c8c6a	1	1667	389	144	600	1557	1215	1542
simvarmass_CY5L_629fcaa9	1	154	29	195	120	140	93	147
simvarmass_CY5L_63a09921	1	1749	505	138	220	1642	1426	1625
simvarmass_CY5L_6421c005	1	849	165	100	588	795	541	791
simvarmass_CY5L_6464c463	1	1122	31	272	1025	1069	736	1860
simvarmass_CY5L_65b58cd3	1	7	17	255	2	11	2	625
simvarmass_CY5L_66024d2b	1	1841	349	205	784	1732	1501	1795
simvarmass_CY5L_69b6847f	1	1740	257	194	855	1607	1179	1620
