GROUP	TARGET	SALT_CONC	BIO_REPL	TIMEPOINT	CELL_COUNT	TOOL	TH_TYPE	STACK_TRIMMED	LR_SLOPE	LR_ICEPT	PEARSON_EST	PEARSON_P	PEARSON_CI95_LO	PEARSON_CI95_HI	SPEARMAN_EST	SPEARMAN_P
109	CTT1	CTT1	0.2	1	40	737	Big-FISH	Fixed	FALSE	0.566354767641087	0.568031454313208	0.946001267037143	0	0.937856056364029	0.953104719722341	0.944956530309947	0
110	CTT1	CTT1	0.2	1	40	737	Big-FISH	Fixed	TRUE	0.729362390512043	0.0340145547831337	0.972578538175912	0	0.968377117693602	0.976228498586531	0.949215741702122	0
111	CTT1	CTT1	0.2	1	40	737	Big-FISH	Variable	FALSE	0.684140039895172	0.890487227392418	0.963306124045727	0	0.957714471502997	0.968170382850418	0.953978072658847	0
112	CTT1	CTT1	0.2	1	40	737	Big-FISH	Variable	TRUE	0.831821638347503	0.693227727925907	0.976045427591237	0	0.972367750846487	0.97923878117175	0.958520285966234	0
113	CTT1	CTT1	0.2	1	45	1011	NeuertLab	Fixed	FALSE	0.806300734867636	0.517227769912082	0.985981767180978	0	0.984154202923958	0.987599867846293	0.99238715477222	0
114	CTT1	CTT1	0.2	1	45	1011	NeuertLab	Fixed	TRUE	0.83935961343371	0.461359182222122	0.988263557462534	0	0.986731483906257	0.98961965162747	0.989274106856146	0
115	CTT1	CTT1	0.2	1	45	1011	NeuertLab	Variable	FALSE	0.8370161881576	0.543062466135331	0.987534116664713	0	0.985907496921748	0.988974027098719	0.991704458600242	0
116	CTT1	CTT1	0.2	1	45	1011	NeuertLab	Variable	TRUE	0.872817921854119	0.57245386904318	0.987590774990275	0	0.985971496167295	0.989024177069916	0.985755415338522	0
117	CTT1	CTT1	0.2	1	45	1011	Big-FISH	Fixed	FALSE	0.588043367217411	0.51851668980383	0.95744562112053	0	0.951987724517526	0.962295064311263	0.964990814135614	0
118	CTT1	CTT1	0.2	1	45	1011	Big-FISH	Fixed	TRUE	0.763437120051203	0.16931048104243	0.981246108068186	0	0.978807741609906	0.9834062704543	0.971337458940674	0
119	CTT1	CTT1	0.2	1	45	1011	Big-FISH	Variable	FALSE	0.698748286069486	0.932507467259364	0.969261366850799	0	0.965292051394265	0.972783024891029	0.963202166021509	0
120	CTT1	CTT1	0.2	1	45	1011	Big-FISH	Variable	TRUE	0.86401525237981	0.805512247559855	0.978047949926816	0	0.975198966648921	0.9805728792214	0.966860195130462	0
121	CTT1	CTT1	0.2	1	4	812	NeuertLab	Fixed	FALSE	0.921498125779475	0.0128442295199323	0.985121345136197	0	0.982941539808483	0.987024428006368	0.967098006712266	0
122	CTT1	CTT1	0.2	1	4	812	NeuertLab	Fixed	TRUE	0.723740231789347	0.0519214609897333	0.954225325750454	0	0.947638476299782	0.960000595712971	0.864448518546194	3.85285597673837e-244
123	CTT1	CTT1	0.2	1	4	812	NeuertLab	Variable	FALSE	0.950125422659928	0.0456271990197997	0.991057029450825	0	0.989742341230682	0.992203878888861	0.977555810765607	0
124	CTT1	CTT1	0.2	1	4	812	NeuertLab	Variable	TRUE	0.841386846811043	0.127299821180214	0.962233442347372	0	0.956773449448675	0.967015402869859	0.883385752182968	7.69264345696905e-269
125	CTT1	CTT1	0.2	1	4	812	Big-FISH	Fixed	FALSE	0.659951580955179	-0.0553402433528632	0.929096229021236	0	0.919043170573432	0.93794128882056	0.798678922840804	7.5207134226343e-181
126	CTT1	CTT1	0.2	1	4	812	Big-FISH	Fixed	TRUE	0.502348922320898	-0.0637922099726678	0.886226508660939	6.48663070920435e-273	0.870503209687745	0.900142626910349	0.686118372575631	4.90249941228117e-114
