IMAGENAME	ACTUAL_SPOTS	ACTUAL_SPOTS_TRIMMED	HBTr_THRESH	HBTr_COUNT_VAR	HBTr_COUNT_FIXED	BFTr_THRESH	BFTr_COUNT_VAR	BFTr_COUNT_FIXED
simvarmass_TMRL_492fc7d6	1340	1250	144	1213	1214	763	1240	8835
simvarmass_TMRL_49455a7c	2360	2236	96	2065	2043	414	2046	2069
simvarmass_TMRL_4a02cbce	386	366	68	351	349	320	357	346
simvarmass_TMRL_4aff60bf	1503	1420	72	1379	1371	326	1360	1342
simvarmass_TMRL_4b89c98e	404	386	141	375	375	427	392	417
simvarmass_TMRL_4ca7c1f8	417	394	100	380	380	447	386	433
simvarmass_TMRL_4d299943	2425	2278	131	2118	2118	321	2081	2061
simvarmass_TMRL_4db68b26	1346	1266	127	1193	1184	306	1215	1170
simvarmass_TMRL_4e01ce8f	1332	1267	142	1183	1190	849	1229	7501
simvarmass_TMRL_4ee7b39c	1543	1455	92	1381	1373	324	1389	1346
simvarmass_TMRL_4fa41ff4	363	343	95	335	334	496	337	513
simvarmass_TMRL_5050c5eb	402	385	108	374	370	418	391	411
simvarmass_TMRL_51aca410	848	805	127	749	743	451	779	893
simvarmass_TMRL_531f2826	27	27	75	1258	6	481	23	274
simvarmass_TMRL_54048b1d	2167	2035	147	1881	1887	409	1896	1909
simvarmass_TMRL_54a4ef33	545	513	72	498	485	436	500	523
simvarmass_TMRL_54df1a75	1612	1513	137	1439	1439	125	15595	7831
simvarmass_TMRL_55394eb0	2437	2302	137	2126	2126	95	17019	2870
simvarmass_TMRL_577ce5ca	2329	2210	169	1907	1977	677	2062	5669
simvarmass_TMRL_58abd6b5	630	581	160	551	640	126	18743	4516
simvarmass_TMRL_59ada9e0	1232	1173	136	1096	1095	752	1144	5635
simvarmass_TMRL_5bb3b255	1844	1755	172	1675	1797	633	1754	5744
simvarmass_TMRL_5d617c83	2367	2233	77	2082	2057	303	2040	1993
simvarmass_TMRL_5fefc118	1828	1726	169	1571	1635	584	1638	3427
simvarmass_TMRL_600a446c	736	700	130	666	666	431	673	720
simvarmass_TMRL_6040aa37	1019	964	114	922	917	358	938	903
simvarmass_TMRL_604ef355	1816	1729	190	1603	1885	626	1636	5185
simvarmass_TMRL_617d8a56	2286	2161	144	1974	1993	108	14295	7500
